ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92025,2013,Female,60 to 69,1931
92139,2013,Female,60 to 69,1657
92110,2013,Female,60 to 69,1212
92096,2013,Female,60 to 69,0
92107,2013,Female,60 to 69,1296
92026,2013,Female,60 to 69,2641
92161,2013,Female,60 to 69,0
92070,2013,Female,60 to 69,77
92036,2013,Female,60 to 69,387
92136,2013,Female,60 to 69,0
92155,2013,Female,60 to 69,0
92111,2013,Female,60 to 69,2237
92064,2013,Female,60 to 69,2900
92091,2013,Female,60 to 69,112
92104,2013,Female,60 to 69,1884
92672,2013,Female,60 to 69,25
92071,2013,Female,60 to 69,2980
91910,2013,Female,60 to 69,3784
92103,2013,Female,60 to 69,1762
92061,2013,Female,60 to 69,159
92029,2013,Female,60 to 69,1339
91905,2013,Female,60 to 69,114
92115,2013,Female,60 to 69,2177
91934,2013,Female,60 to 69,73
91945,2013,Female,60 to 69,1244
92003,2013,Female,60 to 69,260
92122,2013,Female,60 to 69,1770
91916,2013,Female,60 to 69,153
92105,2013,Female,60 to 69,2281
92127,2013,Female,60 to 69,1662
92536,2013,Female,60 to 69,28
91906,2013,Female,60 to 69,227
92121,2013,Female,60 to 69,151
92117,2013,Female,60 to 69,2439
91978,2013,Female,60 to 69,483
91963,2013,Female,70 to 79,31
92064,2013,Female,70 to 79,1417
92104,2013,Female,70 to 79,770
92066,2013,Female,70 to 79,17
92123,2013,Female,70 to 79,652
92110,2013,Female,70 to 79,720
92078,2013,Female,70 to 79,1461
92027,2013,Female,70 to 79,1319
92121,2013,Female,70 to 79,81
92082,2013,Female,70 to 79,620
92037,2013,Female,70 to 79,1814
92130,2013,Female,70 to 79,831
92118,2013,Female,70 to 79,719
92119,2013,Female,70 to 79,1168
92124,2013,Female,70 to 79,663
92122,2013,Female,70 to 79,1243
92081,2013,Female,70 to 79,791
92117,2013,Female,70 to 79,1781
92161,2013,Female,70 to 79,0
91942,2013,Female,70 to 79,1102
92134,2013,Female,70 to 79,0
92128,2013,Female,70 to 79,1983
92061,2013,Female,70 to 79,65
91906,2013,Female,70 to 79,113
91913,2013,Female,70 to 79,778
92029,2013,Female,70 to 79,723
92136,2013,Female,70 to 79,0
92182,2013,Female,70 to 79,0
91977,2013,Female,70 to 79,1621
91914,2013,Female,70 to 79,343
92009,2013,Female,70 to 79,1024
92093,2013,Female,70 to 79,15
92071,2013,Female,70 to 79,1563
91980,2013,Female,70 to 79,5
92065,2013,Female,70 to 79,903
92139,2013,Female,70 to 79,947
92155,2013,Female,70 to 79,0
91905,2013,Female,70 to 79,60
92014,2013,Female,70 to 79,645
92114,2013,Female,70 to 79,1900
92007,2013,Female,70 to 79,264
92115,2013,Female,70 to 79,1075
92060,2013,Female,70 to 79,32
92075,2013,Female,70 to 79,515
92101,2013,Female,70 to 79,936
92102,2013,Female,70 to 79,793
92131,2013,Female,70 to 79,628
92116,2013,Female,70 to 79,622
92056,2013,Female,70 to 79,1877
92069,2013,Female,70 to 79,987
92672,2013,Female,70 to 79,19
92024,2013,Female,70 to 79,1471
92058,2013,Female,70 to 79,661
92021,2013,Female,70 to 79,1838
92259,2013,Female,70 to 79,0
92011,2013,Female,70 to 79,845
92108,2013,Female,70 to 79,378
92003,2013,Female,70 to 79,214
92059,2013,Female,70 to 79,31
92054,2013,Female,70 to 79,936
92019,2013,Female,70 to 79,1236
92028,2013,Female,70 to 79,1748
92126,2013,Female,70 to 79,1644
92067,2013,Female,70 to 79,360
92173,2013,Female,70 to 79,691
92004,2013,Female,70 to 79,283
92106,2013,Female,70 to 79,643
92536,2013,Female,70 to 79,20
92086,2013,Female,70 to 79,59
92008,2013,Female,70 to 79,805
91932,2013,Female,70 to 79,587
91935,2013,Female,70 to 79,249
92096,2013,Female,70 to 79,0
92020,2013,Female,70 to 79,1757
92109,2013,Female,70 to 79,937
92154,2013,Female,70 to 79,2050
92010,2013,Female,70 to 79,402
92129,2013,Female,70 to 79,1029
92135,2013,Female,70 to 79,0
92036,2013,Female,70 to 79,210
92040,2013,Female,70 to 79,1199
92070,2013,Female,70 to 79,50
92084,2013,Female,70 to 79,1223
92127,2013,Female,70 to 79,738
91911,2013,Female,70 to 79,2456
91934,2013,Female,70 to 79,32
92120,2013,Female,70 to 79,1156
91916,2013,Female,70 to 79,54
92083,2013,Female,70 to 79,683
91902,2013,Female,70 to 79,610
91950,2013,Female,70 to 79,1536
91901,2013,Female,70 to 79,571
92055,2013,Female,70 to 79,64
92107,2013,Female,70 to 79,562
92091,2013,Female,70 to 79,68
91945,2013,Female,70 to 79,652
92140,2013,Female,70 to 79,0
91948,2013,Female,70 to 79,18
91978,2013,Female,70 to 79,206
91915,2013,Female,70 to 79,341
92026,2013,Female,70 to 79,1558
92025,2013,Female,70 to 79,1024
92105,2013,Female,70 to 79,1221
92103,2013,Female,70 to 79,952
92111,2013,Female,70 to 79,1462
91941,2013,Female,70 to 79,1166
91962,2013,Female,70 to 79,61
91931,2013,Female,70 to 79,10
92145,2013,Female,70 to 79,1
91917,2013,Female,70 to 79,23
92057,2013,Female,70 to 79,1672
