ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92128,2010,Female,60 to 69,2879
92123,2010,Female,60 to 69,899
91977,2010,Female,60 to 69,2514
91906,2010,Female,60 to 69,283
92065,2010,Female,60 to 69,1681
92111,2010,Female,60 to 69,2121
92130,2010,Female,60 to 69,1579
92020,2010,Female,60 to 69,2498
92106,2010,Female,60 to 69,1071
92055,2010,Female,60 to 69,23
92155,2010,Female,60 to 69,31
92011,2010,Female,60 to 69,1359
92064,2010,Female,70 to 79,1239
92003,2010,Female,70 to 79,190
91948,2010,Female,70 to 79,12
92083,2010,Female,70 to 79,664
92004,2010,Female,70 to 79,272
92127,2010,Female,70 to 79,602
92135,2010,Female,70 to 79,0
92007,2010,Female,70 to 79,247
92126,2010,Female,70 to 79,1587
92071,2010,Female,70 to 79,1381
92008,2010,Female,70 to 79,810
91945,2010,Female,70 to 79,650
92124,2010,Female,70 to 79,525
92009,2010,Female,70 to 79,870
92136,2010,Female,70 to 79,11
91942,2010,Female,70 to 79,1151
92010,2010,Female,70 to 79,409
92123,2010,Female,70 to 79,665
92011,2010,Female,70 to 79,775
91941,2010,Female,70 to 79,1058
92122,2010,Female,70 to 79,1223
92014,2010,Female,70 to 79,424
92139,2010,Female,70 to 79,931
92019,2010,Female,70 to 79,1086
92536,2010,Female,70 to 79,14
92121,2010,Female,70 to 79,58
91935,2010,Female,70 to 79,243
92020,2010,Female,70 to 79,1721
92120,2010,Female,70 to 79,1228
92140,2010,Female,70 to 79,2
92021,2010,Female,70 to 79,1663
91934,2010,Female,70 to 79,24
92024,2010,Female,70 to 79,1423
92119,2010,Female,70 to 79,1194
92093,2010,Female,70 to 79,14
92672,2010,Female,70 to 79,1
92025,2010,Female,70 to 79,918
92118,2010,Female,70 to 79,696
91932,2010,Female,70 to 79,541
92026,2010,Female,70 to 79,1468
92145,2010,Female,70 to 79,0
92117,2010,Female,70 to 79,1796
92075,2010,Female,70 to 79,427
92027,2010,Female,70 to 79,1173
91931,2010,Female,70 to 79,7
92028,2010,Female,70 to 79,1501
92116,2010,Female,70 to 79,545
91906,2010,Female,70 to 79,147
92154,2010,Female,70 to 79,1957
92029,2010,Female,70 to 79,663
92115,2010,Female,70 to 79,990
91917,2010,Female,70 to 79,47
92036,2010,Female,70 to 79,163
91905,2010,Female,70 to 79,51
92101,2010,Female,70 to 79,831
92037,2010,Female,70 to 79,1742
92114,2010,Female,70 to 79,1872
91916,2010,Female,70 to 79,40
92040,2010,Female,70 to 79,1099
92113,2010,Female,70 to 79,818
92155,2010,Female,70 to 79,30
92054,2010,Female,70 to 79,876
91915,2010,Female,70 to 79,299
92055,2010,Female,70 to 79,4
92111,2010,Female,70 to 79,1496
92161,2010,Female,70 to 79,0
92056,2010,Female,70 to 79,1867
92110,2010,Female,70 to 79,690
92078,2010,Female,70 to 79,1399
92057,2010,Female,70 to 79,1622
91914,2010,Female,70 to 79,242
92109,2010,Female,70 to 79,899
92058,2010,Female,70 to 79,629
91901,2010,Female,70 to 79,495
92173,2010,Female,70 to 79,726
91913,2010,Female,70 to 79,636
92059,2010,Female,70 to 79,59
92108,2010,Female,70 to 79,330
92060,2010,Female,70 to 79,26
92107,2010,Female,70 to 79,520
91911,2010,Female,70 to 79,2379
92082,2010,Female,70 to 79,566
92061,2010,Female,70 to 79,32
92182,2010,Female,70 to 79,17
92106,2010,Female,70 to 79,540
91910,2010,Female,70 to 79,2212
92096,2010,Female,70 to 79,14
92065,2010,Female,70 to 79,793
92105,2010,Female,70 to 79,1108
92066,2010,Female,70 to 79,18
92086,2010,Female,70 to 79,52
92067,2010,Female,70 to 79,272
92104,2010,Female,70 to 79,757
92259,2010,Female,70 to 79,0
92084,2010,Female,70 to 79,1123
92069,2010,Female,70 to 79,878
92103,2010,Female,70 to 79,880
92091,2010,Female,70 to 79,67
92081,2010,Female,70 to 79,793
92070,2010,Female,70 to 79,45
92131,2010,Female,70 to 79,509
91963,2010,Female,70 to 79,29
92130,2010,Female,70 to 79,972
91962,2010,Female,70 to 79,61
91977,2010,Female,70 to 79,1470
91978,2010,Female,70 to 79,200
92129,2010,Female,70 to 79,1150
92102,2010,Female,70 to 79,705
91950,2010,Female,70 to 79,1651
91980,2010,Female,70 to 79,2
91902,2010,Female,70 to 79,636
92128,2010,Female,70 to 79,2096
